site,year,month,day,location,depth,temp,salinity,ph,secchi,lat,long,,,,,,,,,
ssp,2015,5,2,a0,0,9.7,27.6,8,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,b0,0,9.7,28.1,8,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,b1,1,9.7,28.1,8,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,c0,0,9.8,28.1,8.1,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,c1,1,9.7,28.2,8.1,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,c3,3,9.7,28.6,8.1,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,d0,0,9.8,28.1,8.1,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,d1,1,9.9,28.1,8.1,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,d5,5,9.8,28.3,8.1,11,-128.115,51.68135,,,,,,,,,
ssp,2015,5,2,d10,10,9.8,28.3,8.1,11,-128.115,51.68135,,,,,,,,,
wfb,2015,5,2,a0,0,10,27.6,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,b0,0,9.9,27.5,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,b1,1,9.9,27.9,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,c0,0,9.9,28,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,c1,1,9.9,28.1,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,c3,3,9.8,28.2,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,d0,0,9.8,28.3,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,d1,1,9.8,28.3,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,d5,5,9.8,28.3,8,10,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,2,d10,10,9.8,28.3,8,10,-128.1192833,51.68283333,,,,,,,,,
hdo,2015,5,3,a0,0,9,12.8,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,b0,0,8.9,14.5,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,b1,1,9.1,18,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,c0,0,9.8,21.5,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,c1,1,10,22.4,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,c3,3,9.9,22.4,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,d0,0,9.9,21.6,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,d1,1,10,22.4,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,d5,5,9.9,22.4,8.1,4.5,-128.12976,51.65501,,,,,,,,,
hdo,2015,5,3,d10,10,9.9,22.4,8.1,4.5,-128.12976,51.65501,,,,,,,,,
pba,2015,5,3,a0,0,10.1,21.8,7.9,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,b0,0,10.1,22.8,8,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,b1,1,10.2,22.6,n/a,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,c0,0,10.1,22.8,8,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,c1,1,10.2,22.6,n/a,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,c3,1,10.2,22.6,n/a,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,d0,0,9.9,22.3,8.1,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,d1,1,10.1,22.5,8.1,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,d5,5,10.3,22.8,8,0,-128.1192,51.64529,,,,,,,,,
pba,2015,5,3,d10,10,10.3,22.8,8.1,0,-128.1192,51.64529,,,,,,,,,
chp,2015,5,4,a0,0,10,26.9,7.7,0,-128.12384,51.67649,,,,,,,,,
chp,2015,5,4,b0,0,9.9,27.1,7.9,0,-128.12384,51.67649,,,,,,,,,
chp,2015,5,4,b1,1,9.8,27.1,n/a,0,-128.12384,51.67649,,,,,,,,,
chp,2015,5,4,c0,0,9.8,27.2,8,0,-128.12384,51.67649,,,,,,,,,
chp,2015,5,4,c1,1,9.8,27.2,8,0,-128.12384,51.67649,,,,,,,,,
