site,year,month,day,net_extent_set_1,net_width_set_1,depth_extent_set_1,net_extent_set_2,net_width_set_2,depth_extent_set_2,area_set1,vol_set1,area_set2,vol_set2,notes
ssp,2014,6,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
wfb,2014,6,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
pba,2014,6,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hab1,2014,6,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
kis1,2014,6,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
kis2,2014,6,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hab2,2014,6,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ppo,2014,6,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hab3,2014,6,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
koe1,2014,6,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
koe2,2014,6,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hdo,2014,6,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ssp,2014,7,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hab4,2014,7,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hdo,2014,7,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
wfb,2014,7,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
chp,2014,7,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
pba,2014,7,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
